gh_team_size,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_testduration,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_description_complexity,tr_jobs,gh_num_commits_on_files_touched,gh_sloc,tr_log_setup_time,tr_log_buildduration,gh_is_pr,tr_log_bool_tests_ran,tr_log_bool_tests_failed,gh_by_core_team_member,tr_duration
76,,0,,73,0,0,0,7,0,0,7,0,0,,,,,,273.417507944096,1.20918984280532,7.65820233776703,,"[108112083, 108112084, 108112085, 108112086, 108112087, 108112088, 108112089, 108112090, 108112091, 108112092, 108112093, 108112094]",271,106683,2,,false,false,,true,1217
95,1,0,0,79,31,3,0,1,0,0,4,0,0,,,,,,270.410780597986,0.222043566479078,3.30002679836147,5.0,"[12025312, 12025313, 12025314, 12025315]",3,130605,,,true,false,,true,1822
95,,0,,79,31,3,0,1,0,0,4,0,0,,,,,,270.410780597986,0.222043566479078,3.30002679836147,,"[12026238, 12026239, 12026240, 12026241]",4,130605,,,false,false,,true,1782
95,,0,,76,17,3,0,1,0,0,4,0,0,,,,,,268.791706568167,0.220408287351604,3.27572316719109,,"[12034682, 12034683, 12034684, 12034685]",52,131574,,,false,false,,true,1123
94,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,268.773081657776,0.220368090700467,3.27512576178969,,"[12098524, 12098525, 12098526, 12098527]",30,131598,,,false,false,,true,1325
94,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,268.943210138395,0.219675335004886,3.26482997886572,,"[12136572, 12136573, 12136574, 12136575]",522,132013,,,false,false,,true,1566
87,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,269.665038199678,0.240372122031079,3.02089288498519,,"[20771731, 20771732, 20771733, 20771734, 20771735, 20771736, 20771737, 20771738]",602,153928,,,false,false,,true,47
78,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,299.268882667899,0.978446987198652,7.90005345219652,,"[69352537, 69352538, 69352539, 69352540, 69352541, 69352542, 69352543, 69352544, 69352545, 69352546, 69352547]",767,110379,2,,false,false,,true,1989
94,,0,,18,0,0,0,1,0,0,1,0,0,,,,,,268.935061393608,0.219668679033761,3.26473105736382,,"[12278567, 12278568, 12278569, 12278570]",21,132017,,,false,false,,true,1258
94,,0,,6,0,0,0,1,0,0,1,0,0,,,,,,269.176305747675,0.216134032911996,3.29418077748629,,"[12324127, 12324128, 12324129, 12324130]",65,134176,,,false,false,,true,1191
94,,0,,23,0,0,0,2,0,0,2,0,0,,,,,,268.209846983505,0.221015640540162,3.24892991594038,,"[12523554, 12523555, 12523556, 12523557]",28,135737,,,false,false,,true,1722
94,2,0,0,855,34,2,0,20,0,0,21,0,0,,,,,,267.859504739511,0.220442354324344,3.24050260856786,5.0,"[12545750, 12545751, 12545752, 12545753]",92,136090,,,true,false,,true,1215
93,,0,,1,0,0,0,1,0,0,1,0,0,,,,,,267.541026920706,0.2201802542348,3.23664973725156,,"[12569612, 12569613, 12569614, 12569615]",154,136252,,,false,false,,true,1415
93,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,267.541026920706,0.2201802542348,3.23664973725156,,"[12573862, 12573863, 12573864, 12573865]",187,136252,,,false,false,,true,1738
93,,0,,222,53,5,0,6,0,0,11,0,0,,,,,,268.177885954751,0.219938124074427,3.23309042389408,,"[12608095, 12608096, 12608097, 12608098]",105,136402,,,false,false,,true,1326
93,0,0,0,44,0,0,0,3,0,0,3,0,0,,,,,,268.171987830358,0.219933286902973,3.2330193174737,7.0,"[12608485, 12608486, 12608487, 12608488]",105,136405,,,true,false,,true,1246
93,,0,,125,21,0,0,5,0,0,5,0,0,,,,,,268.251385346117,0.219896208989357,3.23247427214355,,"[12619263, 12619264, 12619265, 12619266]",215,136428,,,false,false,,true,1498
93,,0,,4,0,0,0,1,0,0,1,0,0,,,,,,268.360506981237,0.21953575505664,3.22717559933261,,"[12882221, 12882222, 12882223, 12882224]",82,136652,,,false,false,,true,1396
75,,0,,152,3,3,0,7,0,0,8,0,2,,,,,,290.136547977825,1.24641887115377,5.6181865535588,,"[111783620, 111783621, 111783622, 111783623, 111783624, 111783625, 111783626, 111783627, 111783628, 111783629, 111783630, 111783631]",433,53754,3,,false,false,,true,1475
93,,0,,22,0,0,0,3,0,0,3,0,0,,,,,,268.66542230518,0.218735417638824,3.21541063929071,,"[13043419, 13043420, 13043421, 13043422, 13043424, 13043426]",794,137152,,,false,false,,true,2380
83,,0,,3,0,0,0,1,0,0,1,0,0,,,,,,269.821594294133,0.246613925899005,3.02426551234043,,"[21970908, 21970909, 21970910, 21970913, 21970914, 21970915, 21970916, 21970917, 21970918]",7,154087,,,false,false,,true,3482
93,,0,,11,0,0,0,1,0,0,1,0,0,,,,,,268.583174191291,0.218668454888698,3.21442628686386,,"[13157038, 13157039, 13157040, 13157041, 13157042, 13157043]",92,137194,,,false,false,,true,1977
93,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,269.788036966133,0.206591650942747,3.03689726885837,,"[13334986, 13334988, 13334989, 13334990, 13334991, 13334992]",55,145214,,,false,false,,true,2229
93,,0,,7,0,0,0,4,0,0,3,0,0,,,,,,269.786179113728,0.206590228282202,3.03687635574837,,"[13335924, 13335925, 13335926, 13335927, 13335928, 13335929]",573,145215,,,false,false,,true,1861
93,,0,,0,24,0,0,4,0,0,4,0,0,,,,,,269.590168446548,0.20642959374656,3.03451502807442,,"[13378270, 13378271, 13378272, 13378273, 13378274, 13378275]",96,145328,,,false,false,,true,1492
80,1,0,0,45,0,1,0,2,0,0,3,0,0,,,,,,258.250829896095,0.239196765593004,2.87036118711605,67.0,"[39488902, 39488903, 39488904, 39488905, 39488906, 39488907, 39488908, 39488909, 39488910]",88,171407,,,true,false,,false,2335
83,,0,,4,0,0,0,1,0,0,1,0,0,,,,,,269.512463865808,0.220369962277848,3.02036477710226,,"[22456694, 22456695, 22456696, 22456697, 22456698, 22456699, 22456700, 22456701, 22456702]",16,154286,,,false,false,,true,249
92,,0,,22,4,0,0,2,0,0,2,0,0,,,,,,269.49535767547,0.206172814052739,3.03074036657526,,"[13545281, 13545282, 13545283, 13545284, 13545285, 13545286]",29,145509,,,false,false,,true,2224
91,,0,,10,0,0,0,1,0,0,1,0,0,,,,,,269.777991614544,0.206199738813664,3.03113616056086,,"[13708949, 13708950, 13708951, 13708952, 13708953, 13708954]",51,145490,,,false,false,,true,1877
83,0,0,0,44,0,0,0,3,0,0,3,0,0,,,,,,267.558248742393,0.225146988819844,3.00410410796763,42.0,"[22730787, 22730788, 22730789, 22730790, 22730791, 22730792, 22730793, 22730794, 22730795]",23,155454,,,true,false,,false,16
